username, created_at, lng, lat, text
kaiellsworthca, Fri Apr 24 06:13:13 +0000 2020, -121.469664, 38.561722, @lauramaynerd @Nick_Offerman @AmyMcGrathKY @Booker4KY I’d like to say @Booker4KY looks like a great guy, I like man… https://t.co/nx5s5DHoWl 
OptimisAle, Fri Apr 24 06:13:13 +0000 2020, -117.969982, 34.049874, @xoxodommmm So pretty 💙 
_Spitmyrage, Fri Apr 24 06:13:13 +0000 2020, -116.952353, 32.799253, Drop face skin care routines please and thanks 
kindredisis, Fri Apr 24 06:13:13 +0000 2020, -84.539813, 39.137038, The reason imma be single for the rest of my life is because I’m picky asf. I curve every single nigga that shoots with me and its sad. 
sammyclaws12, Fri Apr 24 06:13:14 +0000 2020, -81.550398, 41.474967, I tweet too much that shit gets lost, please read. 
gammaaraee, Fri Apr 24 06:13:14 +0000 2020, -92.436774, 38.304558, she really thought she was special 
elyyssse, Fri Apr 24 06:13:14 +0000 2020, -71.088712, 42.313670, I don’t trust niggas at all lol 
FreeLetMeRock, Fri Apr 24 06:13:14 +0000 2020, -76.069946, 36.802541, Thats not me talkin thats my cousin in the headphones lol 
________fifi, Fri Apr 24 06:13:14 +0000 2020, -73.831187, 40.670879, سُبْحَانَ اللهِ  وَبِحَمْدِهِ ⭐️🌙 #ramadankareem 
chad_g24, Fri Apr 24 06:13:14 +0000 2020, -83.804475, 27.698682, Lmaooooo 🤣 
SweetJooones, Fri Apr 24 06:13:14 +0000 2020, -112.124676, 33.552863, “I’ve never been on the internet, what’s it like?”Me: 
TheChrisLondon, Fri Apr 24 06:13:14 +0000 2020, -83.173867, 32.678207, @omariwolfe Rush On the Ride slapped 
Tereee__, Fri Apr 24 06:13:14 +0000 2020, -100.076888, 31.168893, @miss_trashleigh Bitch I’m screaming 😂😂😂😂😂 
lolababy97, Fri Apr 24 06:13:14 +0000 2020, -80.187553, 25.868938, I had Clives jerk chicken for lunch.  Chicken Alfredo for dinner. Now I’m bout to bake a cake 🤦🏽‍♀️ 
MichaelmPrince, Fri Apr 24 06:13:14 +0000 2020, -122.430277, 48.753353, @BBCWorld @commonwealthsec @UKinFrance @ukinchina @UN @PresidencyZA @azzurri @KremlinRussia_E @BurberryME 
agnes_gibboney, Fri Apr 24 06:13:14 +0000 2020, -117.562152, 34.121670, I'm angry! Politicians drag their feet, while American families are suffering, on the brink of losing everything. T… https://t.co/tJk8T9wINI 
SandyBjj, Fri Apr 24 06:13:14 +0000 2020, -85.242564, 35.091954, @Didi2Die https://t.co/lO1j8cxaHy 
Astro_Erik, Fri Apr 24 06:13:15 +0000 2020, -79.616073, 43.555244, @FParker73 @jhsulley @danicamclellan @kinsellawarren Trudeau did a great explaining quantum computing… https://t.co/YqZMxpnJHO 
ArcAngelChris_, Fri Apr 24 06:13:15 +0000 2020, -117.998733, 33.692542, @3Dprint_Seattle @grhluna24 Is it like super hot there 
ItsDixsyBaby, Fri Apr 24 06:13:15 +0000 2020, -122.232934, 37.497293, I remember when I was nearly obsessed with my first college crush smh 
Smalltide_, Fri Apr 24 06:13:15 +0000 2020, -95.158936, 29.668301, Dm how much I gotta pay you to love me 
mandoboomin_, Fri Apr 24 06:13:15 +0000 2020, -121.243741, 36.323570, @KrabsBurner https://t.co/R5BtQI0wPo 
JaydaaaCapri, Fri Apr 24 06:13:15 +0000 2020, -85.058721, 33.039371, i’m just up &amp; ordering stuff 🤦🏽‍♀️ . 
ChicoLightning, Fri Apr 24 06:13:15 +0000 2020, -101.897173, 33.570526, @Nickrhodes3900 look how that worked out your boy in Texas 😂😂😂 
kbtoNavarro, Fri Apr 24 06:13:16 +0000 2020, -109.841790, 27.713653, @fcervantess Jajajajajajajajajajajaja si esque tu tmb alm pues ya te pego el pinche encierro !!!! La neeeeeta que m… https://t.co/xsgPXjuueO 
nessssa_75, Fri Apr 24 06:13:16 +0000 2020, -95.326899, 29.547885, @12thplanet @Disciplerecs It’s not working :((( 
HeritageGroveMS, Fri Apr 24 06:13:16 +0000 2020, -88.336118, 41.690508, Thank you Elliot😊luckily for us we have you and many others for another year! We miss all of our Huskies. 
Resist2TheEnd, Fri Apr 24 06:13:16 +0000 2020, -121.469664, 38.561722, @MysterySolvent Don, just go bury your head in Kim boobidge for the next 9 months and we’ll clean up the mess on yo… https://t.co/ZjEcNHotrP 
Bosslvdybri, Fri Apr 24 06:13:16 +0000 2020, -95.446486, 29.838495, 🙈 
liberalprick70, Fri Apr 24 06:13:16 +0000 2020, -81.611450, 28.020476, Trump Reportedly Approved Of Georgia’s Reopen Plan Before Bashing Ithttps://t.co/Pb30l1U9jW- Because, of course h… https://t.co/5mjtWEKLn9 
Reef215, Fri Apr 24 06:13:16 +0000 2020, -75.117998, 40.004866, We don't care about loosing CeeDee it's loosing him to fucking #1 offense Cowboys. We're going to need to build a D… https://t.co/xTwwZoHuFB 
Chicopalo1994, Fri Apr 24 06:13:16 +0000 2020, -84.433106, 33.767195, THEY PUT THE PRAY ALBUM BY ANDRAÉ CROUCH ON APPLE MUSIC !🙌🏽🙌🏽🙌🏽🙌🏽 JESUS ANSWERS PRAYERS 
1charvo, Fri Apr 24 06:13:16 +0000 2020, -83.173867, 32.678207, @spicygirlcuz Facts 
lerois0leil, Fri Apr 24 06:13:16 +0000 2020, -77.553048, 39.101836, this is quantifiable https://t.co/az1gIawKYT 
BugzyBluntz, Fri Apr 24 06:13:17 +0000 2020, -118.217658, 34.138520, Reposted from @BIGLYRX #FreeDowload “A Different Breed” Link in my BIO 💯💯🔥🔥🔥 S/O to @flipstarmedia for the artwork… https://t.co/Y7WSxZrLDj 
InfoCosecha, Fri Apr 24 06:13:17 +0000 2020, -80.311836, 25.841038, BECAUSE WE TAKE CARE OF YOU OUR STAFF IS WORKING IN A CLEAN AND SAFE ENVIRONMENT TO ALWAYS OFFER YOU THE BEST OF US… https://t.co/l7Po4l9aw5 
lessachu, Fri Apr 24 06:13:17 +0000 2020, -122.435979, 37.770657, @dayseye We’re actually still good on dumplings but I am in full on siu mai withdrawal. 
Sabalero_18, Fri Apr 24 06:13:17 +0000 2020, -100.330891, 25.670206, @RayadosInterna1 Me acuerdo Perfecto de esa tipografía... eran pruebas! Pero muy bonita 
AlexanderTheDav, Fri Apr 24 06:13:17 +0000 2020, -94.378332, 39.088004, my body’s here on earth but i’m floatin https://t.co/U24gOnjhF4 
omarislit11, Fri Apr 24 06:13:17 +0000 2020, -100.076888, 31.168893, Kris obviously 
djkuttncee2K19, Fri Apr 24 06:13:18 +0000 2020, -87.967292, 43.056722, @atari I had a got an Atari 5200 for X-mas of 1986! One the most memorable Gaming experiences on this planet! 
BalloutBrii, Fri Apr 24 06:13:18 +0000 2020, -77.014398, 38.898603, we don’t do no internet shows 
princessdymon_, Fri Apr 24 06:13:18 +0000 2020, -83.099288, 42.352787, with the coffee 😂😩 
Noigz16, Fri Apr 24 06:13:18 +0000 2020, -76.753805, 39.305508, fuck it ina virgin again 😩 
ffabela, Fri Apr 24 06:13:18 +0000 2020, -106.162898, 28.941866, Por un momento pensé que mi ex stalkeaba mi Twitter... 
MaridelLopezEt, Fri Apr 24 06:13:18 +0000 2020, -100.293591, 25.641718, #Oliver por las mañanas tardías https://t.co/762Hc2nss1 
finelinekels, Fri Apr 24 06:13:18 +0000 2020, -88.728421, 34.264073, me and mallory just having a conversation during the entire live https://t.co/1rziVucwpt 
breezystreet_, Fri Apr 24 06:13:18 +0000 2020, -90.011008, 29.982601, @lifewjohann_ You right lol 
_TanNat, Fri Apr 24 06:13:18 +0000 2020, -80.127848, 40.689780, "I didn't mean it like *that* you took it the wrong way" 
come2_amERICA, Fri Apr 24 06:13:18 +0000 2020, -89.922029, 35.133521, @Quitaah__ Eat the Dixie queen then come get ate like some 🥴 
kendrickkim2000, Fri Apr 24 06:13:18 +0000 2020, -119.306608, 37.269176, True superheroes and thank you https://t.co/75fxwHkx9V 
heavensent703, Fri Apr 24 06:13:19 +0000 2020, -77.310919, 38.685223, Let’s give a round of applause to all women worldwide we love and respect you!!! 
koolin710, Fri Apr 24 06:13:19 +0000 2020, -119.165389, 34.181956, I love this city. Noouuuuu bap hahah 
WeGotGame2, Fri Apr 24 06:13:19 +0000 2020, -96.994833, 32.768591, 🔥🔥🔥 
sgeezy99, Fri Apr 24 06:13:19 +0000 2020, -111.696468, 40.295113, Who’s up and needs attention 
Thomasfan12341, Fri Apr 24 06:13:19 +0000 2020, -81.516751, 41.080877, I also feel like people tend to give me more shit then I really need realistically. Yes I make myself a target but… https://t.co/lr6x9NmlVn 
bobertinie, Fri Apr 24 06:13:19 +0000 2020, -83.804475, 27.698682, Trebor 😈 
kno101, Fri Apr 24 06:13:20 +0000 2020, -105.063942, 40.564190, I’ve been out of college for almost a year and I’m still trying to get back into being able to read for fun 
JasonMobbs_THF, Fri Apr 24 06:13:20 +0000 2020, -116.891443, 32.725196, @deandelray Looks like Biff just put a fresh coat on it. 
michiegodlover, Fri Apr 24 06:13:20 +0000 2020, -75.800141, 45.248791, Guys have absolutely no excuse for having acne. They can just jerk off for some face cleanser smh 
becc0h, Fri Apr 24 06:13:20 +0000 2020, -118.156711, 33.809172, My boyfriend would love me if I was a worm. I can rest easy. 
JmariWyatt, Fri Apr 24 06:13:20 +0000 2020, -95.446486, 29.838495, @MurderMedusa “I’m chilll... but can step out”””” 
BengalsNews2, Fri Apr 24 06:13:20 +0000 2020, -84.539813, 39.137038, @kocvrek @Joe_Burrow10 @GetVideoBot 
myyouthaway, Fri Apr 24 06:13:20 +0000 2020, -105.550890, 38.997936, my bf everyone 
Priority_Planet, Fri Apr 24 06:13:21 +0000 2020, -76.620482, 39.284713, @wastednready Watching tik toks usually helps me 
alexxferretti11, Fri Apr 24 06:13:21 +0000 2020, -83.804475, 27.698682, 999 foreva https://t.co/aXKAUejpCK 
dom_taylormade, Fri Apr 24 06:13:21 +0000 2020, -88.161555, 30.683649, To this day, nobody touching me on this game😂😂😂 period 
ZachMayer8, Fri Apr 24 06:13:21 +0000 2020, -94.559281, 39.100048, @dgpdawg There’s not a movie for either of those books. Not yet at least 
k_wubzz, Fri Apr 24 06:13:21 +0000 2020, -121.781704, 42.219274, @usernametaco @angieee64 Are you good girl 🥺💛 
jdixon779, Fri Apr 24 06:13:21 +0000 2020, -83.633752, 42.906423, @marc0lona @eleni_joy I’m going to steal it before it’s posted again and claim it as my own 
Sheyramos01, Fri Apr 24 06:13:21 +0000 2020, -74.271204, 40.521462, Ya me acostumbre a estar tantas veces esa lista de reproducción antes de dormir,que ahora si no la escucho no duermo. 
yoafricanprince, Fri Apr 24 06:13:21 +0000 2020, -73.968542, 40.780709, @akuforudu Before 
Rose_sanville, Fri Apr 24 06:13:21 +0000 2020, -84.007844, 42.313587, Quarantine really got me wishing i could eat normal fucking bread and pasta without it disintegrating my intestines 
ChebukinGregory, Fri Apr 24 06:13:21 +0000 2020, -149.457254, 61.576358, Pop a perc and relaaaaax 
DRJMFM, Fri Apr 24 06:13:21 +0000 2020, -118.325145, 34.182160, @melissamonetxxx @LongBeachCity @longbeachpd Did you check to see if he is chipped ?  If not please shelter him in… https://t.co/46WU8OPN8p 
PlowMySock, Fri Apr 24 06:13:21 +0000 2020, -92.061177, 30.206079, @TheseKnivesOnly I did the thing https://t.co/RZ8xdBjLBD 
travelliberally, Fri Apr 24 06:13:21 +0000 2020, -104.922093, 39.713563, @kylegriffin1 @maddow "You're  doing a great job Brownie"Bush in New Orleans after Katrina to head of FEMA who pre… https://t.co/o7EuA29lg4 
vmenigma, Fri Apr 24 06:13:21 +0000 2020, -122.023841, 37.378397, @NikkiHaley It’s best if Nikki sits our the rest of the decade.  She has shot herself in the foot so many times there aren’t any toes left. 
AriesMinaj, Fri Apr 24 06:13:22 +0000 2020, -117.386642, 34.097698, OUT NOW ON SOUNDCLOUD GO SUPPORT A BARB WITH BARS 🔥🔥🔥🔥🔥🔥https://t.co/ziZmC67Fmg https://t.co/rIIVlwQTaV 
CUPID_WILLIAMS, Fri Apr 24 06:13:22 +0000 2020, -73.948775, 40.655138, Gelato is &lt; 
kxmida, Fri Apr 24 06:13:22 +0000 2020, -87.931412, 42.062471, i’m just gonna plug my insta so follow me 🥺 @iamdaaniii 
smiley_zo, Fri Apr 24 06:13:22 +0000 2020, -94.649311, 31.613941, And when the draft is over I will pick my NFL team 
lexiewiltz, Fri Apr 24 06:13:22 +0000 2020, -121.436217, 37.723350, hot cheeto puffs hella addicting 
Marcos_Rojas85, Fri Apr 24 06:13:22 +0000 2020, -120.460183, 36.859925, I could never love a bitch that’s not the purpose of my feelings 💨 https://t.co/5RSwHQgqNA 
Eaglefan12, Fri Apr 24 06:13:22 +0000 2020, -115.223125, 36.232915, @PHLEaglesNation How about just Eagles, 7 other key pieces of the offense have to perform for anybody to be successful 
KingHaynes7, Fri Apr 24 06:13:22 +0000 2020, -80.926628, 33.631140, im on your ass again 
pamelafender, Fri Apr 24 06:13:22 +0000 2020, -122.699418, 38.343445, @JimDeck59503918 Get well. We need you and your vote!! 
daylen_rae, Fri Apr 24 06:13:22 +0000 2020, -84.316443, 34.134613, that’s... the wife 
pinga126, Fri Apr 24 06:13:23 +0000 2020, -118.411907, 34.020789, They should teach manners in elementary school or something 🤦🏻‍♀️ 
FranchescaTabl1, Fri Apr 24 06:13:23 +0000 2020, -108.574616, 39.091751, I'm sorry. It wasn't that horrible Coronavirus, was it?I know it will take time. It will never be ok,but know that… https://t.co/BTFhhUMV7F 
Hyungwonvoice, Fri Apr 24 06:13:23 +0000 2020, -74.196525, 40.662479, No mamen jamás había llegado a una meta xd 
olga93911213, Fri Apr 24 06:13:23 +0000 2020, -117.999409, 34.139172, @fulloa52 @ravelpak @MilenaMayorga CUENTA FALSA !!!🤣🤣🤣🤣🤣 
_trefizzle, Fri Apr 24 06:13:23 +0000 2020, -76.295896, 36.763216, Still up doing hw and i thought my friend was gonna come through with the call . 
MijaresRest1920, Fri Apr 24 06:13:23 +0000 2020, -118.153523, 34.137490, Here are your dinner plans for the weekend! Call Mijares for orders or information (626)792-2763! #dinner #weekend… https://t.co/YgM0stszHM 
SFParksAlliance, Fri Apr 24 06:13:24 +0000 2020, -122.435979, 37.770657, @sbjinsfo 😍 
MOFinancial, Fri Apr 24 06:13:24 +0000 2020, -80.244984, 36.087169, @momomarleau @colorworldbooks @BrinaPalencia @AboutElizabethM @KylePhillipsFUN @AlexisTiptonVA You bet! 
Legend__Derry, Fri Apr 24 06:13:24 +0000 2020, -86.142922, 39.779562, The fact that he got that shot off twice that night is really amazing 
briannarobillos, Fri Apr 24 06:13:24 +0000 2020, -123.122401, 44.065621, @TaylaDionne @kyantewilson i’m surprise @k_wubzz hasn’t changed her header to big baby 
dav1dasanchez, Fri Apr 24 06:13:24 +0000 2020, -118.918886, 34.188478, Nobody: Me at 6am: I’m going to make a video of me playing Minecraft rn :D 
ohdess__, Fri Apr 24 06:13:24 +0000 2020, -80.926628, 33.631140, @saamanthagarcia can i be your gf 
Calicuzn, Fri Apr 24 06:13:24 +0000 2020, -122.315421, 37.552481, @Champagne_Pogi @eric_crocker @dagambla03 @ReasonabIedisco So let him walk for nothing? And he  ends up in KC or wo… https://t.co/UKHOrsOeU0 
rosalesfam24, Fri Apr 24 06:13:24 +0000 2020, -117.398963, 34.060759, @FuckOffTrump5 https://t.co/d4qQOneL2i 
511nyBDFV, Fri Apr 24 06:13:25 +0000 2020, -74.000953, 40.731675, Cleared: Incident on #FLine Queens bound from W 4th Street-Washington Square Station to 34th Street-Herald Square Station 
PoisonIvy424, Fri Apr 24 06:13:25 +0000 2020, -80.249773, 26.270261, https://t.co/eEsKKEf4ta 
_fuknEdwin, Fri Apr 24 06:13:25 +0000 2020, -97.780841, 31.132782, Smells like pussy Ft Rupal 💀💀 
baaabyalz, Fri Apr 24 06:13:25 +0000 2020, -98.716992, 35.309047, the nostalgia is real @theofficialtaya @dene_saffell https://t.co/kygKus11um 
chrisxguth, Fri Apr 24 06:13:25 +0000 2020, -73.831187, 40.670879, @EtienneJBouchez didnt look too deep into it just what im listening to the most atm 🔥 
511NY, Fri Apr 24 06:13:25 +0000 2020, -73.837014, 40.863790, Closure on #LodovickAvenue from Mace Avenue to Allerton Avenue https://t.co/HQ8w7k8DiU 
HaydonConover, Fri Apr 24 06:13:25 +0000 2020, -97.445173, 35.222301, @samronaut11 oh MY GOD 
511NYC, Fri Apr 24 06:13:26 +0000 2020, -74.000953, 40.731675, Cleared: Incident on #FLine Queens bound from W 4th Street-Washington Square Station to 34th Street-Herald Square Station 
511NY, Fri Apr 24 06:13:26 +0000 2020, -74.000953, 40.731675, Cleared: Incident on #FLine Queens bound from W 4th Street-Washington Square Station to 34th Street-Herald Square Station 
511NYC, Fri Apr 24 06:13:26 +0000 2020, -73.837014, 40.863790, Closure on #LodovickAvenue from Mace Avenue to Allerton Avenue https://t.co/9nOOjWniqY 
EtzoldCierra, Fri Apr 24 06:13:26 +0000 2020, -121.873730, 37.331159, This shit ain’t right, love u forever juice  https://t.co/XoMlUekK9g 
caraizamx, Fri Apr 24 06:13:26 +0000 2020, -106.568008, 31.452274, @PadreDelTweet Son peor que el mismísimo virus caray. 
jcbheinen, Fri Apr 24 06:13:26 +0000 2020, -100.076888, 31.168893, FIRST AID IS SO FUCKING GOOD 
LAangel_Camilla, Fri Apr 24 06:13:26 +0000 2020, -118.411907, 34.020789, @Clorox @LisaAsharris826 Clorox is going to have to put out a WARNING to the WORLD NOT TO TRY THIS AT HOME!… https://t.co/SrX4FSGnrX 
VibeWilliams, Fri Apr 24 06:13:26 +0000 2020, -85.242564, 35.091954, @senpaijrr All gays work at mcdonalds prove me wrong 😂 
zahidchaudhry11, Fri Apr 24 06:13:26 +0000 2020, -122.958344, 49.239654, @alnassar_kw Finally u guy's wokeup 
Juan_Won_One, Fri Apr 24 06:13:26 +0000 2020, -79.957910, 37.274489, @thotimus_primee Wow you’re a cannibal 🥱 https://t.co/IKV9eJHuSE 
that_adrenaline, Fri Apr 24 06:13:27 +0000 2020, -73.645717, 40.725122, time to learn THE TRUTH #bbhlisteningparty 💥❣️ 
featuringFool, Fri Apr 24 06:13:27 +0000 2020, -84.266174, 30.476216, How ya feel bout hendo 
Childish_Aubrey, Fri Apr 24 06:13:27 +0000 2020, -79.002112, 35.054627, omae wa mou shindeiru 
FUCKZOE, Fri Apr 24 06:13:27 +0000 2020, -73.968542, 40.780709, I did a whole lot of mental recovering today. Very much needed. 
highclass__hoe, Fri Apr 24 06:13:27 +0000 2020, -118.411907, 34.020789, @playboicarti wyd🙃 
jdouglaslittle, Fri Apr 24 06:13:27 +0000 2020, -123.123581, 49.257639, CBC tonight. 65% of Canadian C19 deaths are in LTC facilities. In QC its 80%. This is a shameful national scandal… https://t.co/HiyTbtsGDM 
cruFUNKSHION, Fri Apr 24 06:13:27 +0000 2020, -90.026039, 29.903835, I really want those green frames💚 
yungmarie, Fri Apr 24 06:13:27 +0000 2020, -74.232784, 40.725694, @NBCNews What is wrong with him???? Geezzzuzzzz! Get him outta there please. Somebody! Anybody!!!!!! OMG! 
CandyBbyXXX, Fri Apr 24 06:13:27 +0000 2020, -117.104989, 32.810012, 🗣 WE THE BEST.! 
pri_kachuu, Fri Apr 24 06:13:27 +0000 2020, -122.330602, 47.614817, @DustyMyths NO! 
jacki_d, Fri Apr 24 06:13:27 +0000 2020, -84.433106, 33.767195, all the things that happened tonight during the draft in these homes ... i just can’t even gather my thoughts 😂🤣 
BobbwagsUSMC, Fri Apr 24 06:13:28 +0000 2020, -95.446486, 29.838495, I am 1 degree from Kevin Bacon. https://t.co/XJ4FmAkCwM 
TheBradenMeador, Fri Apr 24 06:13:28 +0000 2020, -95.538134, 30.337514, @riverdaleisawe3 @BryceFoster5 aww look Bryce it’s your first ever hater 🤩 adding this to the scrapbook 
DynastyGuruFF, Fri Apr 24 06:13:28 +0000 2020, -93.262046, 44.970610, @realRYNOS  oh man 
theerealalyx, Fri Apr 24 06:13:28 +0000 2020, -81.749130, 41.440474, @bmarty0 Welp I’ll be occupied this weekend 
StyHungry83, Fri Apr 24 06:13:28 +0000 2020, -96.761753, 32.819858, @Dant3Og @JeffDuncan_ Yo he averaged 3 penalties per game?! 
thomaswikjr2, Fri Apr 24 06:13:28 +0000 2020, -93.262046, 44.970610, RIP! 
brian4dotcom, Fri Apr 24 06:13:28 +0000 2020, -112.268207, 33.572415, I'm at https://t.co/AEpLcco6hk World HQ in Peoria, AZ https://t.co/AwmYqSQlep 
soxbearpayton, Fri Apr 24 06:13:28 +0000 2020, -88.161321, 41.748496, 🥺💔❣️ https://t.co/pl3NVPwn11 
ByeCiaran, Fri Apr 24 06:13:29 +0000 2020, -96.621634, 32.907642, Youngboy hurting. I needed this 
mostoutmire, Fri Apr 24 06:13:29 +0000 2020, -122.419000, 37.779300, Just posted a photo @ San Francisco, California https://t.co/HT2V9cFVsJ 
meechx_, Fri Apr 24 06:13:29 +0000 2020, -87.732013, 41.833585, frfr he been hangin w Dababy too much 
raiderracygirl1, Fri Apr 24 06:13:29 +0000 2020, -114.572356, 35.115325, @no_silenced AlphaBeta 
bootymac1, Fri Apr 24 06:13:29 +0000 2020, -84.433106, 33.767195, @pvssypotpie Me 
MarkBrining, Fri Apr 24 06:13:29 +0000 2020, -117.022695, 38.502147, @WyldeDime78 @iteachOFC @themouthmatusow You’ve got too many chips now. It hurting the other player’s ability to pl… https://t.co/y9JrzpmW7O 
tuhhroy, Fri Apr 24 06:13:29 +0000 2020, -76.593943, 24.074967, If the right person do it mhm🥴 
